day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
699,4091.6,195.24917413397682,477.5,76.91846332318399,994644.4,472.3740467045157
700,4075.4,191.8208539236545,478.4,79.81002443302471,994659.9,456.6211668330762
701,4059.7,193.4564808942828,467.2,73.94836036045695,994678.3,449.67100195587443
702,4056.5,192.9788848553126,470.5,66.86591059725427,994691.7,447.7173326999972
703,4047.3,201.3450024212173,469.9,74.7374738668628,994703.8,444.61506947021036
704,4037.5,204.76144656648623,466.6,66.8583577423197,994715.3,444.65695766511965
705,4028.9,196.2347828495244,468.4,67.20148807876207,994726.9,441.5688960966341
706,4022.8,190.2155619290914,478.8,70.75704911879805,994733.5,441.51472229134106
707,4017.7,189.61437181817206,474.6,67.25801067530915,994753.6,431.166835459315
708,4005.9,185.75438083663062,481.3,61.75605233497362,994764.5,429.78465537987745
709,3987.5,184.12889507081715,473.0,60.975404877704584,994776.8,424.922769453462
710,3981.4,179.32662936663922,469.7,62.68341088358227,994789.1,423.9512825785529
711,3975.2,186.96085151710238,461.6,70.19430176303487,994809.2,421.5760429625953
712,3968.6,193.86655204031456,459.7,62.50287993364786,994824.3,425.6047579621262
713,3957.7,192.00992161864968,449.1,58.29313853276387,994843.8,423.37827058081285
714,3948.3,196.25699987516367,453.2,61.5561532261398,994847.2,426.70476913200775
715,3942.0,200.40908163054888,451.6,64.81080156887431,994859.6,428.6502537034126
716,3937.7,202.36602975796112,457.2,65.18097882051174,994871.3,428.6751800606142
717,3935.3,203.21321315308217,451.2,64.19937694401715,994878.5,427.92738870046634
718,3933.7,204.54977389378848,450.5,60.116969318155085,994887.5,421.36427233452054
719,3930.5,206.72699388323724,448.9,60.37789330541436,994888.2,418.68814169976207
720,3924.6,210.93041506620142,446.5,57.313610948883685,994901.9,410.2142001442661
721,3918.1,210.94143737065983,440.3,51.01186136576473,994923.6,411.62123366026685
722,3910.0,209.1721778822413,441.6,51.11790293038242,994928.5,413.9476416166663
723,3908.1,206.6729058198002,445.4,45.35019294336023,994937.5,419.0988546870535
724,3895.6,208.44961021791335,442.6,43.169896919033754,994945.6,424.0898961305256
725,3901.5,211.25825427660808,436.9,43.43144022479568,994951.5,420.53828600972827
726,3901.2,204.71189511115372,432.1,43.57166510474439,994960.9,424.78240311952663
727,3892.8,205.14180461329667,433.1,40.7,994964.1,423.4282583862348
728,3895.5,209.06805112211669,429.5,35.88105349623949,994975.1,424.1651683012173
729,3901.5,208.99485639603668,434.4,42.26866451640033,994978.3,427.88036879483036
730,3895.5,209.27219117694543,436.0,39.24028542199967,994978.5,425.7053558507339
731,3892.1,206.1006792807826,436.8,38.71382182115323,994983.2,430.6647884375968
732,3888.4,206.1481021013776,427.0,48.82007783689002,994992.5,438.95290180154865
733,3887.2,198.02969474298547,419.8,42.06851554309945,995003.0,433.36589621242695
734,3881.8,195.52534362583282,417.0,45.11762405091828,995004.9,434.7156426907134
735,3882.0,192.3995841991349,410.2,49.56369639161309,995007.1,436.5472368484309
736,3888.8,189.7623777254069,404.2,47.748926689507904,995012.1,435.6589147486827
737,3888.7,182.96231852488094,411.2,42.20379129888688,995008.0,428.9216711708561
738,3886.0,187.89890899097844,413.4,41.598557667303794,995009.0,426.7141900616852
739,3894.3,186.07635529534642,406.9,38.21635775423922,995015.8,431.1822816396797
